total_steps,episode,episode_steps,episode_reward,episode_time,critic_loss_one,critic_loss_two,critic_loss,actor_loss
1209,1,1209,-162.10659501001615,3.2483561038970947,0.0018734552431851625,0.0017270607640966773,0.003600515890866518,
1251,2,42,-115.32267977730179,0.40392208099365234,0.04838055372238159,0.05772989243268967,0.10611044615507126,
1355,3,104,-128.3074794243003,1.0609188079833984,0.17238596081733704,0.1690356433391571,0.34142160415649414,
1569,4,214,-119.74199795526309,4.501245975494385,36.7724609375,37.49799346923828,74.27045440673828,
1636,5,67,-112.78421620705744,1.0180468559265137,68.09744262695312,68.6932144165039,136.7906494140625,0.22637970745563507
1685,6,49,-112.62892556994336,0.5431690216064453,0.8765363693237305,0.7288552522659302,1.6053916215896606,
1766,7,81,-96.642890359866,0.8732154369354248,24.715639114379883,24.21904754638672,48.93468475341797,0.06289283186197281
1831,8,65,-101.5937998626191,0.7017478942871094,2.1762585639953613,2.1720447540283203,4.348303318023682,
1905,9,74,-100.19402090745038,0.8111581802368164,22.059669494628906,20.862937927246094,42.922607421875,
3505,10,1600,-99.4072051540919,25.340644359588623,3.1995344161987305,3.4800119400024414,6.679546356201172,
3636,11,131,-107.35219642021922,1.3611180782318115,1.2060120105743408,1.3759639263153076,2.5819759368896484,-0.1600058227777481
3779,12,143,-129.148873481091,2.070413827896118,5.952609539031982,5.253741264343262,11.206350326538086,
3856,13,77,-106.96669637611733,1.948936939239502,1.5171444416046143,1.5201172828674316,3.037261724472046,-0.6060642004013062
4051,14,195,-102.7738446701373,2.8814737796783447,6.655570983886719,7.405088424682617,14.060659408569336,
4171,15,120,-112.65672569433568,1.3147659301757812,4.159540176391602,4.440325736999512,8.599865913391113,
4314,16,143,-125.29295929005028,1.9040231704711914,4.817282199859619,3.5015432834625244,8.318825721740723,-0.3896898329257965
4435,17,121,-129.90673103278058,2.9307339191436768,2.114828586578369,1.8806545734405518,3.995483160018921,
4521,18,86,-125.7489582828071,1.5491178035736084,1.9505335092544556,1.6503748893737793,3.6009082794189453,
4598,19,77,-121.78629673639546,0.8613572120666504,3.077981948852539,4.50057315826416,7.578555107116699,0.09067240357398987
4689,20,91,-126.73863188589658,0.9241845607757568,4.351294994354248,4.256276607513428,8.607571601867676,
4753,21,64,-100.66053201692581,0.5711650848388672,2.0988240242004395,2.8734359741210938,4.972259998321533,
4827,22,74,-120.24518418567445,0.7109324932098389,9.100427627563477,9.887190818786621,18.98761749267578,
4932,23,105,-111.14017983195312,2.330314874649048,5.701129913330078,5.592602729797363,11.293732643127441,-0.016121849417686462
5002,24,70,-119.07061626599392,1.718660831451416,3.9586985111236572,4.600976467132568,8.559675216674805,1.238749623298645
5077,25,75,-120.24414784847119,1.2534096240997314,3.8239006996154785,4.714083194732666,8.537983894348145,
5213,26,136,-122.14192385565704,1.53548264503479,8.901409149169922,7.371860980987549,16.273269653320312,
5334,27,121,-123.65123232416849,1.2877800464630127,8.283242225646973,8.719466209411621,17.002708435058594,2.0535247325897217
5462,28,128,-126.16064874447218,2.049983024597168,3.396857500076294,2.9411797523498535,6.338037490844727,1.0451748371124268
5582,29,120,-117.53800112635228,2.98360013961792,4.671424388885498,5.084744453430176,9.756168365478516,0.9913067817687988
5635,30,53,-115.07209889429907,1.0189297199249268,3.409198760986328,3.7854552268981934,7.1946539878845215,
5701,31,66,-111.6559734615205,0.5971324443817139,7.20760440826416,7.356806755065918,14.564411163330078,
5755,32,54,-115.67197062942286,0.481548547744751,9.195327758789062,9.729696273803711,18.925024032592773,
5816,33,61,-112.01639595449888,0.5814549922943115,10.494891166687012,10.368937492370605,20.863828659057617,1.871554970741272
5873,34,57,-116.6318752340486,0.5219833850860596,6.1272711753845215,6.392757415771484,12.520029067993164,
6033,35,160,-114.36615740783836,1.4886114597320557,4.94688606262207,3.433109998703003,8.379996299743652,
6116,36,83,-110.62586462798225,1.8914685249328613,8.313063621520996,6.864189624786377,15.177253723144531,2.796260118484497
6202,37,86,-114.71436730602294,2.133899211883545,2.73984432220459,2.3230652809143066,5.0629096031188965,2.086764335632324
6244,38,42,-115.8574041869089,1.0117383003234863,5.949493408203125,4.839095592498779,10.788589477539062,1.2225432395935059
6396,39,152,-114.21083848668955,1.579775094985962,4.525687217712402,4.901315212249756,9.427001953125,1.7784793376922607
6443,40,47,-122.1570338589756,0.4449617862701416,6.08769416809082,7.116207599639893,13.203901290893555,
6490,41,47,-121.0142600512874,0.45144009590148926,2.1136391162872314,2.0106399059295654,4.124279022216797,1.382446050643921
6535,42,45,-119.33068518065704,0.41934657096862793,3.5346760749816895,4.150173187255859,7.684849262237549,
6582,43,47,-120.32925923944713,0.3991408348083496,6.65528678894043,6.865906715393066,13.521193504333496,2.0853798389434814
6624,44,42,-115.5931365477507,0.34667539596557617,2.493440866470337,2.7549262046813965,5.2483673095703125,0.7105289697647095
6665,45,41,-116.0010912221033,0.9475142955780029,4.292747974395752,4.10234260559082,8.395090103149414,
6707,46,42,-117.6623482649445,0.9451453685760498,2.1517276763916016,1.608429193496704,3.7601568698883057,
6753,47,46,-122.20279433862802,1.0681400299072266,7.147525310516357,5.985917568206787,13.133442878723145,
6799,48,46,-120.14603633270767,1.1523163318634033,4.009100914001465,4.329757213592529,8.338857650756836,
6840,49,41,-116.18659788999233,0.4300518035888672,3.3447251319885254,3.5639781951904297,6.908703327178955,4.237391948699951
6974,50,134,-115.10317869099048,1.2735505104064941,2.5554237365722656,2.6310768127441406,5.186500549316406,3.695070266723633
7015,51,41,-117.35466658426054,0.3861117362976074,3.108218193054199,2.886293649673462,5.994511604309082,
7145,52,130,-116.16302540913843,1.236084222793579,3.081878900527954,3.186913251876831,6.268792152404785,
7190,53,45,-121.50824520724281,0.47603678703308105,5.458290100097656,4.775891304016113,10.23418140411377,4.944486618041992
7232,54,42,-117.75451738033004,0.82784104347229,2.0551061630249023,1.6869237422943115,3.742029905319214,2.7417640686035156
7275,55,43,-118.79127555778034,1.042367935180664,2.918644905090332,3.0017948150634766,5.920439720153809,
7319,56,44,-118.96658517218533,1.1199567317962646,3.9445395469665527,3.6483969688415527,7.5929365158081055,
7361,57,42,-117.85824047355324,1.016638994216919,3.801983594894409,4.143033981323242,7.9450178146362305,
7493,58,132,-115.04695976576191,1.6858041286468506,2.1144800186157227,2.1962459087371826,4.310726165771484,
7534,59,41,-117.1209420115241,0.41565966606140137,1.99509859085083,1.8511416912078857,3.846240282058716,6.350883960723877
7577,60,43,-118.46501429584137,0.45586657524108887,2.7869629859924316,3.509154796600342,6.296117782592773,
7622,61,45,-120.24650702915714,0.47135114669799805,1.6984009742736816,1.495564341545105,3.193965435028076,4.515122890472412
7795,62,173,-118.73417778983344,2.7769196033477783,1.5920809507369995,1.4705160856246948,3.0625970363616943,
7839,63,44,-118.61380254679473,1.0635979175567627,3.487758159637451,3.393543243408203,6.881301403045654,
7882,64,43,-117.9331046700178,1.124342441558838,4.690408706665039,3.8611040115356445,8.551512718200684,7.921159744262695
7923,65,41,-115.90754124902833,0.8961436748504639,2.149306297302246,1.8474771976470947,3.996783494949341,
7965,66,42,-118.07809253797873,0.4303593635559082,1.556978702545166,1.2691266536712646,2.8261053562164307,
8009,67,44,-118.54121618705017,0.45182228088378906,3.189697027206421,3.365128993988037,6.554825782775879,
8053,68,44,-116.0871724873774,0.47240638732910156,1.996452808380127,1.6198437213897705,3.6162965297698975,
8099,69,46,-117.67448161355603,0.47751760482788086,2.3167176246643066,2.5419185161590576,4.858635902404785,
8191,70,92,-114.85502569958899,0.9739689826965332,1.3586249351501465,1.5346003770828247,2.8932251930236816,
